#{"t_start": 1741909845.5149643, "env_id": "None"}
r,l,t
-117.128774,552,4975.088378
-92.50539,384,4981.817651
-205.827253,962,4998.251593
-84.493344,393,5004.936373
-104.265063,494,5013.376929
-135.393067,622,5023.622293
-130.338085,583,5033.826297
-90.536877,431,5041.190867
-94.923342,423,5049.01154
-158.347155,757,5062.101806
-162.467393,758,5075.091368
-115.469994,536,5084.381367
-206.211481,953,5100.007772
-152.216626,638,5110.532403
-61.611622,287,5115.154755
-169.11579,813,5128.427752
-93.287211,414,5136.853876
-125.983171,579,5146.401545
-84.236865,405,5153.137304
-200.950953,955,5169.126263
-78.235675,324,5174.310811
-174.324927,844,5188.409315
-172.085373,796,5201.716332
-181.926268,716,5213.720685
-137.254314,647,5224.839342
-117.04506,517,5233.58652
-137.565472,637,5244.550352
-127.491306,594,5254.675601
-131.081474,551,5264.089644
-215.831847,899,5279.50235
-205.153035,963,5295.608499
-96.583273,430,5303.114341
-36.394987,143,5307.234437
-69.146798,315,5312.759506
-208.700299,951,5329.13063
-172.739602,778,5342.321393
-72.767488,346,5348.362451
-163.244544,738,5361.439653
-105.808523,498,5369.757763
-190.65562,865,5384.602562
-174.639262,759,5397.715013
-55.157298,266,5402.379339
-133.048637,605,5412.722689
-83.529489,362,5419.037134
-180.101032,865,5433.410221
-171.599039,815,5446.95539
-184.37757,872,5461.636373
-212.920992,956,5477.110509
-1.882475,9,5479.343014
-55.531385,250,5483.203496
-204.359991,905,5498.291417
-57.125753,275,5502.923498
-172.133119,734,5515.139911
-58.182426,269,5519.843678
-149.931052,674,5531.002012
-83.693654,368,5537.051337
-87.924113,403,5543.511698
-135.759641,627,5553.829491
-119.03851,544,5562.913381
-127.326377,603,5573.350533
-101.792525,464,5581.863213
-140.021809,633,5592.564282
-117.577932,552,5602.082513
-186.834148,874,5616.854659
-129.028225,612,5627.463386
-108.627413,512,5636.080716
-182.064571,701,5651.083513
-94.902852,448,5658.792874
-160.645283,706,5670.743166
-90.113607,431,5678.226726
-100.749582,487,5686.655869
-112.407435,536,5695.854746
-79.513055,376,5702.381477
-141.355982,652,5713.563529
-198.162164,894,5728.984695
-126.947461,521,5738.118492
-110.664632,507,5746.88291
-79.848065,358,5752.973169
-129.341134,594,5763.351259
-213.054097,953,5779.920909
-140.702245,650,5790.980072
-104.461859,483,5799.450449
-141.434553,619,5809.655283
-143.076053,634,5819.710463
-31.973706,151,5825.427455
-250.388116,972,5841.463772
-166.183091,787,5854.576671
-172.532698,735,5866.913655
-122.309752,566,5876.274662
-87.11941,414,5883.457087
-157.713528,736,5895.659672
-105.952526,495,5904.069572
-57.098202,254,5908.457767
-111.203654,524,5917.544323
-189.371882,887,5932.534059
-185.859148,756,5945.337339
-56.594755,274,5949.911472
-147.879406,669,5961.14722
-81.051602,387,5967.253903
-104.496753,498,5975.093726
-96.003344,439,5982.143124
-122.513169,547,5991.043511
-14.138535,60,5993.84753
